id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27054939,Encantador Studio central com pátio,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14818,-8.60505,Entire home/apt,97,1,1,2018-08-10,0.01,26,276,0,77038/AL
961379978891970863,Cama em Dormitório de 8 pessoas,532229095,Porto Hostel,PORTO,Bonfim,41.1465568,-8.595140899999999,Shared room,21,1,0,,,21,230,0,147982/AL
34702750,Porto Gaia City House by MP,71810730,Sónia,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.13117,-8.6048,Entire home/apt,100,3,53,2024-02-24,0.91,20,281,30,94962/AL
23416067,Pôr do Sol,154981024,Ângelo,VILA NOVA DE GAIA,Canidelo,41.13027,-8.6663,Entire home/apt,119,3,40,2023-12-05,0.56,1,262,7,66360/AL
22878618,Light Filled Apartment with Terrace in the Heart of the City,139115521,Susana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14948,-8.61366,Entire home/apt,86,2,373,2024-03-12,5.02,6,227,81,82730/AL
572285352480509574,APOSENTUS - The First,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15274,-8.616044,Entire home/apt,43,2,77,2024-01-02,3.14,52,335,36,63223/AL
10588829,Family Room/ Suite - River View,30366133,Top Flat,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14213,-8.61727,Entire home/apt,85,2,1,2023-06-29,0.11,2,182,1,4961/AL
51299944,Cozy and bright loft downtown Porto,176793504,Maria,PORTO,Bonfim,41.15463,-8.60011,Entire home/apt,56,3,52,2023-12-10,1.63,2,233,32,118328/AL
17153505,Moinho de Vento Madalena Beach House Duplex,78329043,Carla / Rodrigo,VILA NOVA DE GAIA,Canidelo,41.11741,-8.66137,Entire home/apt,100,3,29,2023-04-05,0.34,1,253,1,51554/AL
22999364,Loft with garden view near D. Luis bridge,17039060,Lofts Of Sensations,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13526,-8.60773,Entire home/apt,65,2,44,2024-03-17,0.61,10,102,14,136442/AL
