stop_id,stop_code,stop_name,stop_lat,stop_lon
50283,0,JERÓNIMO AZEVEDO,41.179488362715915,-8.648717030830253
48548,0,COTOVIAS,41.18082087870007,-8.636394144219455
48717,0,BR. STO.EUGÉNIO (ESCOLA),41.179105468143725,-8.637445619939168
48715,0,BR.STO.EUGÉNIO (ESCOLA),41.17915209361861,-8.637421898265039
49873,0,JERÓNIMO AZEVEDO,41.18099850612145,-8.645355500195922
49809,0,JULGADO DE PAZ,41.17600690054158,-8.644931218316328
49516,0,RAMALDE DO MEIO,41.1735758434244,-8.642326653792974
48719,0,PRELADA,41.173366114736815,-8.637408852152886
48488,0,URB. PRELADA II,41.17240315991948,-8.635733128667043
48718,0,URB. PRELADA,41.17087097539903,-8.637383898219339
48594,0,PRELADA,41.169059078898805,-8.63656598256783
48172,0,FRANCOS,41.16701998470223,-8.633749988137296
47497,0,SOARES CORREIA,41.16680768424818,-8.630132068888553
46709,0,CARVALHIDO,41.16683998470437,-8.625969988144014
41839,0,R. DA ALEGRIA,41.15961735964114,-8.601758373450062
41312,0,D.AMÉLIA,41.15773073017732,-8.598883116719897
41374,0,MONTE TADEU,41.156200376154594,-8.599178214572511
41446,0,MOREIRA,41.153724144689704,-8.599614996714728
41559,0,MOREDA,41.150671306907135,-8.600200657332353
40693,0,BONFIM,41.15043975747503,-8.59487580609924
40012,0,PISCINA CAMPANHÃ,41.149964657318236,-8.590408276137527
40430,0,HEROISMO,41.146451251875064,-8.59296947510106
40961,0,PRADO REPOUSO,41.14599104750535,-8.596780268694546
41778,0,S. LÁZARO,41.14572018808115,-8.601351323624904
42139,0,DUQUE LOULÉ,41.14544756064302,-8.603620923065854
42517,0,ALEX. HERCULANO,41.144189984731646,-8.605319988179444
43123,0,BATALHA,41.145238935355536,-8.607296367676039
50382,0,ALEIXO,41.15261998471244,-8.649419988135524
50548,0,S.TA CATARINA,41.15066998471397,-8.6509299881358
50911,0,FLUVIAL,41.14876569787581,-8.653552793299037
51360,0,PAULO DA GAMA,41.14813816653373,-8.657176482868886
51674,0,POUSADA JUVENTUDE,41.1486211427232,-8.660046372008026
51942,0,CAMPO PASTELEIRA,41.15250998470932,-8.662319988124707
51606,0,IGREJA N. SRA. DA AJUDA,41.15322834804695,-8.659498587232441
51483,0,BR. DA PASTELEIRA,41.1550545918203,-8.658265278920991
51706,0,SERRALVES (MUSEU),41.15755948495068,-8.660381534785326
51936,0,AFONSO ALBUQUERQUE,41.158880035230645,-8.662271576626155
51471,0,BR. DA PASTELEIRA,41.15493438128016,-8.658156198595014
51550,0,IGREJA N. SRA. DA AJUDA,41.15340977682821,-8.659052592864533
51895,0,CAMPO PASTELEIRA,41.152829984709136,-8.661829988124865
51686,0,POUSADA JUVENTUDE,41.14870998471356,-8.660129988129587
51393,0,PAULO DA GAMA,41.14806998471489,-8.657419988132386
50847,0,FLUVIAL,41.14864998471541,-8.653019988135641
50593,0,STA CATARINA,41.15049998471407,-8.651229988135682
50392,0,ALEIXO,41.15166998471335,-8.64946998813624
42332,0,BATALHA,41.144929984731135,-8.60452998817952
41943,0,S. LÁZARO,41.14562441976887,-8.60231253036996
41299,0,DUQUE TERCEIRA,41.14589449675023,-8.598739817609296
40943,0,PRADO REPOUSO,41.14599489543715,-8.59667252440681
40356,0,HEROISMO,41.14654998473253,-8.592409988188447
39617,0,PINTO BESSA,41.14893685909704,-8.588239253192043
43973,0,AV. ALIADOS,41.1476201373575,-8.610977105565897
50275,0,IGREJA DE RAMALDE,41.16828998469732,-8.648579988123755
51625,0,BR. FONTE DA MOURA,41.169743302782116,-8.659791805469663
51945,0,PEDRA VERDE,41.17288746668068,-8.662549648047488
52009,0,LIDADOR /SOEIRO M.,41.176151563979765,-8.663214266987936
52345,0,C. SAÚDE DE ALDOAR,41.175629984685635,-8.666779988102506
51970,0,MARTIM FREITAS,41.17376370211361,-8.662839476982224
52108,0,VILA NOVA,41.17255319811132,-8.664298487630848
52347,0,ALCAIDE FARIA,41.17127444246563,-8.66675093857284
52708,0,ALDOAR JUNTA FREG.,41.17082114104827,-8.67081805772791
52704,0,ALDOAR JUNTA FREG.,41.17077998468939,-8.67065998810309
52486,0,PROF. MELO ADRIÃO,41.16978423431633,-8.668203699827382
52327,0,IGREJA DE ALDOAR,41.170153969186934,-8.666476724337286
51983,0,PEDRA VERDE,41.17264828865783,-8.662986642837062
52093,0,LIDADOR (SOEIRO MENDES),41.176413809312606,-8.663980654240898
51967,0,PEDRA VERDE,41.172830749661216,-8.662778453776362
51611,0,BR. FONTE DA MOURA,41.169681501830695,-8.6596544700988
50296,0,IGREJA DE RAMALDE,41.16825502756496,-8.64877417625909
48963,0,ROT. DO BESSA,41.164549984703385,-8.638949988134872
47453,0,CASA DA MÚSICA (METRO),41.16128854061839,-8.629867148005502
43974,0,AV. ALIADOS,41.1476195685501,-8.610977201598791
51114,0,PASTELEIRA,41.15302998471064,-8.655029988130455
50394,0,CONDOMINHAS,41.15100320799604,-8.649477990458768
50166,0,ESCOLA ALEIXO,41.15133480509796,-8.647481192903292
50049,0,MOCIDADE ARRÁBIDA,41.15157998471419,-8.64640998813889
49865,0,LARGO PINTO CORREIA,41.15057369008812,-8.645078569950329
49693,0,TV. ENTRE CAMPOS,41.14951718814997,-8.643921208116716
48745,0,FACULDADE ARQUITETURA,41.149449984718515,-8.637389988148207
46809,0,CARVALHIDO,41.16633141789754,-8.626564479636743
47119,0,HOSP. PRELADA,41.169709984701,-8.62822998813982
47524,0,CASTELOS,41.16884714021893,-8.630287327218491
47869,0,MARIA LAMAS,41.170059984699655,-8.632179988136203
48056,0,CASA DA PRELADA,41.17300998469651,-8.633259988132943
47854,0,MARIA LAMAS,41.16989823702525,-8.632100441490026
47514,0,CASTELOS,41.16875083523819,-8.630242384910444
47150,0,HOSP. PRELADA,41.169754314933186,-8.628392531416596
47410,0,CASA DA MÚSICA (METRO),41.16092650981431,-8.62963775799216
48635,0,FELICIANO CASTILHO,41.15722218237691,-8.636724230515567
49267,0,ANTÓNIO PATRÍCIO,41.15861255771738,-8.640487922915632
49926,0,BAIRRO BESSA LEITE,41.15762998470847,-8.645549988134803
50176,0,LORDELO,41.15508671534045,-8.647583934224063
50490,0,MOUTEIRA,41.15472998471013,-8.650389988133023
50783,0,PINTOR ARPAD SZENES,41.15714254965202,-8.652669616996288
51048,0,MASCARENHAS,41.15567894869652,-8.654555885176999
44933,0,CLÉRIGOS,41.14555482585929,-8.615344175504097
44183,0,PR. DA LIBERDADE,41.146009984728195,-8.611949988172405
43120,0,BATALHA,41.14521402016714,-8.607280246102187
43301,0,BATALHA (GUINDAIS),41.14335998473178,-8.608019988177825
43008,0,STA. CATARINA,41.146855259546875,-8.60687117232813
44004,0,ALIADOS,41.14786998472657,-8.611149988171606
44783,0,GUIL. G. FERNANDES,41.147744222411525,-8.614568726576316
41545,0,HOSP. S. JOÃO,41.18288599951862,-8.600354238719582
40892,0,SALGUEIROS,41.169620685213836,-8.596502952959185
40510,0,VITORINO DAMASIO,41.16967998470954,-8.593979988168757
40315,0,COSTA CABRAL,41.168273304835424,-8.592296557008666
40498,0,SILVA TAPADA,41.16682720481764,-8.59390241561348
40366,0,DIOGO CÃO,41.16514208803099,-8.592668140539319
40196,0,IGREJA DAS ANTAS,41.16447395305622,-8.591512859972795
43376,0,PR. D. JOÃO I,41.14798503474999,-8.608311496537667
43880,0,AV. ALIADOS,41.147779984726824,-8.610599988172138
45920,0,MATERNIDADE,41.15146060367377,-8.621257695123415
45894,0,TORRINHA,41.15337998471874,-8.621049988158875
45843,0,CARVALHOSA,41.1563599847159,-8.620809988156704
46397,0,LAROZE ROCHA,41.17624607066955,-8.624230683390524
46492,0,STA. LUZIA,41.17745998469427,-8.624779988136567
45748,0,BR. DO AMIAL,41.17663836857037,-8.620409551720947
45522,0,MIOSÓTIS,41.17807993648548,-8.618949494227408
44002,0,ALMEIDA VALENTE,41.17681509455128,-8.61132947788703
43544,0,I.S.E.P.,41.178567254835045,-8.609263750257623
43563,0,ILHA BRAVA,41.18178328858392,-8.609394932110957
43595,0,S. TOMÉ,41.18405744532953,-8.609506803834227
41597,0,HOSP. S. JOÃO (CIRCUNVALAÇÃO),41.183251133994126,-8.600600667352275
43597,0,S. TOMÉ,41.1841093525693,-8.609509949724742
43562,0,ILHA BRAVA,41.18160683882633,-8.609389115104431
43541,0,I.S.E.P.,41.178300637582964,-8.609255546653275
44032,0,ALMEIDA VALENTE,41.17677703200159,-8.61150913236129
44752,0,R.TELHEIRA,41.17780637466329,-8.614707399705512
45520,0,MIOSÓTIS,41.17809641255147,-8.618936532966053
45666,0,BR. DO AMIAL,41.176997940597595,-8.619754935556324
46511,0,STA. LUZIA,41.17731989956472,-8.62488805421069
46688,0,ALBERTO SAMPAIO,41.176439984695016,-8.625859988136463
45532,0,CEDOFEITA,41.154556647566075,-8.61886811503263
45339,0,FACULDADE DIREITO,41.15192177686493,-8.617795883280113
46121,0,MATERNIDADE,41.15039488939678,-8.622350378505306
46216,0,MIGUEL BOMBARDA,41.149049984722524,-8.62286998816078
40597,0,BONFIM,41.15143998472728,-8.594359988182926
40760,0,BARROS LIMA,41.154227413900145,-8.595269613139557
39697,0,ALAMEDA DAS ANTAS,41.1640799847163,-8.58875998817761
40310,0,DIOGO CÃO,41.16584803663726,-8.592273005019248
40448,0,SILVA TAPADA,41.16644998471286,-8.593289988171904
40554,0,VITORINO DAMASIO,41.16925149830079,-8.594244650949818
40904,0,SALGUEIROS,41.169625613140326,-8.59660840981017
41817,0,LARGO DO PADRÃO,41.14739998472943,-8.601569988180056
42494,0,COLISEU DO PORTO,41.14666896527523,-8.605210548913522
