date, value
2014-02-12,108.6200
2014-02-13,108.9800
2014-02-14,108.6300
2014-02-18,110.1400
2014-02-19,110.3700
2014-02-20,109.4200
2014-02-21,109.0300
2014-02-24,109.7600
2014-02-25,109.1900
2014-02-26,109.3900
2014-02-27,108.5400
2014-02-28,108.9800
2014-03-03,111.2600
2014-03-04,109.1700
2014-03-05,108.1500
2014-03-06,107.9900
2014-03-07,109.1400
2014-03-10,108.2700
2014-03-11,108.3500
2014-03-12,107.8800
2014-03-13,107.4800
2014-03-14,108.0800
2014-03-17,106.9900
2014-03-18,106.7900
2014-03-19,105.9500
2014-03-20,105.7300
2014-03-21,107.2000
2014-03-24,106.5900
2014-03-25,107.0100
2014-03-26,105.9000
2014-03-27,106.5800
2014-03-28,106.6400
2014-03-31,105.9500
2014-04-01,105.7000
2014-04-02,103.3700
2014-04-03,104.8800
2014-04-04,106.4100
2014-04-07,104.8900
2014-04-08,105.8300
2014-04-09,107.3900
2014-04-10,107.1000
2014-04-11,107.3400
2014-04-14,107.6800
2014-04-15,109.1000
2014-04-16,109.7100
2014-04-17,109.7900
2014-04-21,109.6900
2014-04-22,108.5400
2014-04-23,108.4800
2014-04-24,109.7900
2014-04-25,109.5300
2014-04-28,109.1200
2014-04-29,109.8900
2014-04-30,108.6300
2014-05-01,108.6300
2014-05-02,109.4800
2014-05-05,109.4800
2014-05-06,108.3000
2014-05-07,108.1700
2014-05-08,108.1900
2014-05-09,108.2600
2014-05-12,108.3700
2014-05-13,108.7800
2014-05-14,109.8700
2014-05-15,109.7400
2014-05-16,110.9000
2014-05-19,110.8400
2014-05-20,110.3500
2014-05-21,111.3200
2014-05-22,110.8900
2014-05-23,110.1900
2014-05-26,110.0100
2014-05-27,109.8100
2014-05-28,109.0900
2014-05-29,109.9800
2014-05-30,109.2100
2014-06-02,109.3400
2014-06-03,108.8700
2014-06-04,109.0700
2014-06-05,108.4300
2014-06-06,109.2100
2014-06-09,110.5500
2014-06-10,109.1800
2014-06-11,109.8300
2014-06-12,112.1800
2014-06-13,113.1500
2014-06-16,113.4200
2014-06-17,114.0200
2014-06-18,114.2500
2014-06-19,115.1900
2014-06-20,114.5500
2014-06-23,113.6200
2014-06-24,113.7400
2014-06-25,112.8400
2014-06-26,112.6100
2014-06-27,112.6200
2014-06-30,111.0300
2014-07-01,110.8400
2014-07-02,110.1800
2014-07-03,108.9800
2014-07-07,108.7000
2014-07-08,107.6500
2014-07-09,106.8400
2014-07-10,106.2000
2014-07-11,105.7700
2014-07-14,104.7300
2014-07-15,104.7300
2014-07-16,105.4100
2014-07-17,106.0400
2014-07-18,106.0300
2014-07-21,105.7100
2014-07-22,106.4800
2014-07-23,106.8500
2014-07-24,105.7800
2014-07-25,106.8900
2014-07-28,106.7000
2014-07-29,106.9800
2014-07-30,106.4700
2014-07-31,104.9400
2014-08-01,103.4500
2014-08-04,103.6300
2014-08-05,102.8200
2014-08-06,104.1700
2014-08-07,104.0200
2014-08-08,103.3600
2014-08-11,103.4700
2014-08-12,101.6800
2014-08-13,102.2700
2014-08-14,101.1500
2014-08-15,101.1300
2014-08-18,99.3700
2014-08-19,99.7400
2014-08-20,99.9200
2014-08-21,100.2800
2014-08-22,100.0900
2014-08-25,100.4900
2014-08-26,100.5000
2014-08-27,100.4000
2014-08-28,100.7100
2014-08-29,101.1200
2014-09-02,100.2100
2014-09-03,100.8800
2014-09-04,101.2100
2014-09-05,99.5100
2014-09-08,99.5300
2014-09-09,98.0800
2014-09-10,96.2600
2014-09-11,96.4200
2014-09-12,96.3100
2014-09-15,96.4300
2014-09-16,97.3900
2014-09-17,97.7000
2014-09-18,96.8200
2014-09-19,96.7500
2014-09-22,95.3700
2014-09-23,94.8700
2014-09-24,94.5300
2014-09-25,95.2000
2014-09-26,95.0800
2014-09-29,95.7000
2014-09-30,94.6700
2014-10-01,94.5700
2014-10-02,91.2900
2014-10-03,90.8000
2014-10-06,90.6500
2014-10-07,90.9000
2014-10-08,90.2500
2014-10-09,90.4700
2014-10-10,88.6600
2014-10-13,87.8200
2014-10-14,86.3600
2014-10-15,84.0200
2014-10-16,84.0200
2014-10-17,85.2700
2014-10-20,84.4200
2014-10-21,85.1700
2014-10-22,86.3800
2014-10-23,85.9400
2014-10-24,86.0000
2014-10-27,85.6400
2014-10-28,85.5700
2014-10-29,86.9100
2014-10-30,85.5000
2014-10-31,84.1700
2014-11-03,84.9000
2014-11-04,82.1200
2014-11-05,82.8800
2014-11-06,82.0800
2014-11-07,83.2000
2014-11-10,82.9000
2014-11-11,80.9400
2014-11-12,80.4200
2014-11-13,77.7400
2014-11-14,77.5100
2014-11-17,76.8600
2014-11-18,77.2300
2014-11-19,77.2100
2014-11-20,77.6100
2014-11-21,79.2000
2014-11-24,79.6200
2014-11-25,77.6200
2014-11-26,77.3900
2014-11-28,71.8900
2014-12-01,70.8700
2014-12-02,71.1300
2014-12-03,70.1300
2014-12-04,68.4800
2014-12-05,68.0000
2014-12-08,65.6400
2014-12-09,66.1100
2014-12-10,63.3200
2014-12-11,63.6500
2014-12-12,61.6700
2014-12-15,61.0900
2014-12-16,60.2600
2014-12-17,59.8400
2014-12-18,58.8100
2014-12-19,58.8700
2014-12-22,58.3100
2014-12-23,59.0700
2014-12-24,58.6700
2014-12-26,58.7200
2014-12-29,57.8600
2014-12-30,55.6000
2014-12-31,55.2700
2015-01-02,55.3800
2015-01-05,51.0800
2015-01-06,50.1200
2015-01-07,49.0600
2015-01-08,49.4300
2015-01-09,47.6400
2015-01-12,46.9000
2015-01-13,45.1300
2015-01-14,45.8200
2015-01-15,47.6600
2015-01-16,47.3800
2015-01-20,46.4900
2015-01-21,46.5000
2015-01-22,46.0900
2015-01-23,46.6900
2015-01-26,46.0700
2015-01-27,46.5500
2015-01-28,47.0700
2015-01-29,46.6100
2015-01-30,47.5200
2015-02-02,51.7400
2015-02-03,54.4100
2015-02-04,55.0700
2015-02-05,55.9800
2015-02-06,55.8800
2015-02-09,57.0000
2015-02-10,55.7900
2015-02-11,53.4800
2015-02-12,56.2300
2015-02-13,60.3300
2015-02-16,61.5700
2015-02-17,60.7800
2015-02-18,60.7200
2015-02-19,58.7800
2015-02-20,60.9900
2015-02-23,59.7800
2015-02-24,60.3300
2015-02-25,59.7700
2015-02-26,61.3900
2015-02-27,61.8900
2015-03-02,60.7500
2015-03-03,61.1800
2015-03-04,59.1800
2015-03-05,60.3300
2015-03-06,59.1500
2015-03-09,58.6700
2015-03-10,55.9500
2015-03-11,56.4600
2015-03-12,56.6600
2015-03-13,54.8000
2015-03-16,52.0000
2015-03-17,52.1700
2015-03-18,52.5900
2015-03-19,52.9600
2015-03-20,53.8800
2015-03-23,53.8200
2015-03-24,53.6100
2015-03-25,54.1800
2015-03-26,57.0200
2015-03-27,56.4400
2015-03-30,53.9900
2015-03-31,53.6900
2015-04-01,55.7300
2015-04-02,55.7300
2015-04-06,55.7300
2015-04-07,57.5500
2015-04-08,56.4200
2015-04-09,56.0400
2015-04-10,56.8200
2015-04-13,57.1400
2015-04-14,57.6900
2015-04-15,59.3200
2015-04-16,60.1300
2015-04-17,61.3100
2015-04-20,61.2000
2015-04-21,60.1200
2015-04-22,60.1200
2015-04-23,62.6600
2015-04-24,62.9600
2015-04-27,62.8600
2015-04-28,62.6100
2015-04-29,63.9700
2015-04-30,63.9000
2015-05-01,64.1300
2015-05-04,64.6200
2015-05-05,65.4400
2015-05-06,66.2200
2015-05-07,64.9300
2015-05-08,63.8200
2015-05-11,62.8200
2015-05-12,65.0900
2015-05-13,66.3300
2015-05-14,65.5800
2015-05-15,64.6900
2015-05-18,65.1500
2015-05-19,63.4800
2015-05-20,63.5200
2015-05-21,64.7000
2015-05-22,64.7000
2015-05-26,61.6500
2015-05-27,62.0600
2015-05-28,62.5800
2015-05-29,65.5600
2015-06-01,64.8800
2015-06-02,65.4900
2015-06-03,63.8000
2015-06-04,62.0300
2015-06-05,63.3100
2015-06-08,62.6900
2015-06-09,64.8800
2015-06-10,65.7000
2015-06-11,65.1100
2015-06-12,63.8700
2015-06-15,62.6100
2015-06-16,63.7000
2015-06-17,63.8700
2015-06-18,64.2600
2015-06-19,63.0200
2015-06-22,63.3400
2015-06-23,64.4500
2015-06-24,63.4900
2015-06-25,63.2000
2015-06-26,63.2600
2015-06-29,62.0100
2015-06-30,63.5900
2015-07-01,62.0100
2015-07-02,62.0700
2015-07-03,60.3200
2015-07-06,56.5400
2015-07-07,56.8500
2015-07-08,57.0500
2015-07-09,58.6100
2015-07-10,58.7300
2015-07-13,57.8500
2015-07-14,58.5100
2015-07-15,57.0500
2015-07-16,57.5100
2015-07-17,57.1000
2015-07-20,56.6500
2015-07-21,57.0400
2015-07-22,56.1300
2015-07-23,55.2700
2015-07-24,54.6200
2015-07-27,53.4700
2015-07-28,53.3000
2015-07-29,53.3800
2015-07-30,53.3100
2015-07-31,52.2100
2015-08-03,49.5200
2015-08-04,49.9900
2015-08-05,49.5900
2015-08-06,49.5200
2015-08-07,48.6100
2015-08-10,50.4100
2015-08-11,49.1800
2015-08-12,49.6600
2015-08-13,49.2200
2015-08-14,49.0300
2015-08-17,48.7400
2015-08-18,48.8100
2015-08-19,47.1600
2015-08-20,46.6200
