"Year","Category","Nominee(s)","Nominator(s)"
"1950","Medicine","Philip Levine","Joseph Hoffman"
"1950","Medicine","Henricus Jacobus Weve","M Appelmans"
"1950","Medicine","Edwin Cohn
 Alexander von Muralt
 Ernest Verney","Friedrich Rein"
"1950","Medicine","Franz Volhard","C Oehme"
"1950","Medicine","Selman Waksman
 Homer Smith
 Harry Goldblatt","C Oehme"
"1950","Medicine","Selman Waksman","Jacob Meyer"
"1950","Medicine","Alexander Wiener","Walther Schwarzacher"
"1950","Medicine","Karl Friedrich Meyer","Olga Bridgman"
"1950","Medicine","Tadeus Reichstein
 Edward Kendall","J Yoffey"
"1950","Medicine","Robert Rössle","R Siebeck"
"1950","Medicine","René Leriche","Ch Lefebvre"
"1950","Medicine","Andrew Ivy
 Boris Bablom","Jerzy Kaulbersz"
"1950","Medicine","Karl Friedrich Meyer","W Kerr"
"1950","Medicine","Karl Friedrich Meyer","Francis Smyth"
"1950","Medicine","Karl Friedrich Meyer","Frank Hinman"
"1950","Medicine","Herbert Evans","S Lucia"
"1950","Medicine","Charles Herbert Best","Mario De Finis"
"1950","Medicine","Robert Rössle","Viktor Patzelt"
"1950","Medicine","Selman Waksman","Leslie Osborn"
"1950","Medicine","Edward Kendall","Edward Doisy"
"1950","Medicine","Edward Kendall","Hamilton Anderson"
"1950","Medicine","Selman Waksman","J Bürgers"
"1950","Medicine","John Tileston Edsall","Kurt Felix"
"1950","Medicine","George Wells Beadle
 Max Hartmann
 Edwin Cohn","Kurt Felix"
"1950","Medicine","Edward Rickes
 Lester Smith","Corneille Heymans"
"1950","Medicine","Max Hartmann
 Nikolaj Vladimirovich Timoféeff-Ressovsky","B Rajewsky"
"1950","Medicine","Alfred Blalock","John Youmans"
"1950","Medicine","Jean Mussio-Fournier","Velardo Fontana"
"1950","Medicine","Helen Taussig","P Plum"
"1950","Medicine","Alfred Blalock
 Helen Taussig
 Philip Hench","R Schoen"
"1950","Medicine","Selman Waksman
 Edward Kendall
 Hans Selye","R Schoen"
"1950","Medicine","Philip Hench","Paul Searles"
"1950","Medicine","Tadeus Reichstein
 Edward Kendall
 Oskar Wintersteiner","Erik Jorpes"
"1950","Medicine","Torsten Thunberg","Gunnar Ahlgren"
"1950","Medicine","Archer John Porter Martin
 Richard L Synge
 Lyman Craig","Sune Bergström"
"1950","Medicine","Oskar Vogt
 Cécile Vogt","Franz Volhard"
"1950","Medicine","George Wells Beadle
 Edwin Cohn
 Selman Waksman","H Deuticke"
"1950","Medicine","Ernst Pick","Leopold Arzt"
"1951","Medicine","Israel Davidsohn","Ellis Freilich"
"1951","Medicine","Philip Hench
 Edward Kendall","Domingo Prat"
"1951","Medicine","Gotthilft von Studnitz","R Thiel"
"1951","Medicine","René Leriche","L Morel"
"1951","Medicine","Oskar Vogt
 Cécile Vogt","P Vogel"
"1951","Medicine","Roger Vendrely
 Miriam Menkin
 John Rock","B Szabuniewicz"
"1951","Medicine","Axel Westman
 Selman Waksman
 John Bittner","H Martius"
"1951","Medicine","Peyton Rous
 Sir Ernest Lawrence Kennaway","Boleslaw Skarzynski"
"1951","Medicine","Louis Lapicque
 Georges Bourguignon","Pedro Barcia"
"1951","Medicine","M Smith-Petersen","S Weil"
"1951","Medicine","Jan Boeke","Hans Stieve"
"1951","Medicine","Charles Huggins
 Max Hartmann","R Geissendörfer"
"1951","Medicine","James Reyniers
 Ragnar Granit","Corneille Heymans"
"1951","Medicine","Philip Hench","William Murphy"
"1951","Medicine","Gaston Ramon","Jules Bordet"
"1951","Medicine","Hans Selye","W Plate"
"1951","Medicine","John Bittner","F Thomas"
"1951","Medicine","Clarence Crafoord
 Gustav Nylin","Niels Dungal"
"1951","Medicine","Alfred Blalock
 Helen Taussig
 Robert Gross","Niels Dungal"
"1951","Medicine","B Korteweg
 John Bittner","N Goormaghtigh"
"1951","Medicine","Karl Paul Link","Walter Seegers"
"1951","Medicine","Charles Herbert Best
 Vincent du Vigneaud","Bernardo Alberto Houssay"
"1951","Medicine","Walter Seegers","John Dorsey"
"1951","Medicine","Roland Klemme","E Senseney"
"1951","Medicine","Ferdinand Sauerbruch","M Nonne"
"1951","Medicine","Arthur Felix","A Pijper"
"1951","Medicine","Hans Selye","R Platou"
"1951","Medicine","Jörgen Lehmann
 Edward Rickes","P Martini"
"1951","Medicine","Selman Waksman","A Laurinsich"
"1951","Medicine","Karl Folkers
 Lester Smith","Rudolf Degkwitz"
"1951","Medicine","Ragnar Granit","John Eccles"
"1951","Medicine","Hans Selye","J Bouckaert"
"1951","Medicine","Evarts Graham
 Alfred Blalock","Charles Johnston"
"1951","Medicine","Folke Henschen","Sherwood Moore"
"1951","Medicine","Evarts Graham","Philip Shaffer"
"1951","Medicine","Evarts Graham","Robert Moore"
"1951","Medicine","James Collip","Edward Hall"
"1951","Medicine","Charles Herbert Best","Frederick Miller"
"1951","Medicine","Albert Imre Szent-Györgyi","Emil Bozler"
"1951","Medicine","Torbjörn Caspersson","Joseph Mitchell"
"1951","Medicine","Gaston Ramon","Paul Duron"
"1951","Medicine","George Papanicolaou","Ernest Lachman"
"1951","Medicine","Gaston Ramon","Henri Roland"
"1951","Medicine","Gerhard Domagk
 Jacques Charpy","O Grutz"
"1951","Medicine","Charles Herbert Best","Sir Henry Hallett Dale"
"1951","Medicine","Peyton Rous","E Cowdry"
"1951","Medicine","Oswald Theodore Avery
 Michael Heidelberger","Otto Loewi"
"1951","Medicine","Ferdinand Sauerbruch","Emil Frey"
"1951","Medicine","Hans Adolf Krebs","Otto Meyerhof"
"1951","Medicine","Ugo Cerletti","Ruggero Romanese"
"1951","Medicine","Manfred Sakel","Pedro Kouri"
"1951","Medicine","Fritz Verzár","N Melczer"
"1951","Medicine","Helen Taussig
 Alfred Blalock","C De Garis"
"1951","Medicine","Fritz Albert Lipmann","Albert Imre Szent-Györgyi"
"1951","Medicine","Gaston Ramon","E Leconte des Floris"
"1951","Medicine","Gösta Häggkvist","Hans Stieve"
"1951","Medicine","Alexander Wiener","Kirk Mosley"
"1951","Medicine","Helen Taussig","O Ullrich"
"1951","Medicine","Richard Wagner
 Hermann Rein","Ludolph Brauer"
"1951","Medicine","James Collip","R Waud"
"1951","Medicine","Gaston Ramon","M Duvernoy"
"1951","Medicine","Gaston Ramon","A Jullien"
"1951","Medicine","Jacob Jongbloed","E Janssen"
"1951","Medicine","Paul Buchner
 Umberto Pierantoni
 Karl Sulc","Hans Harmsen"
"1951","Medicine","Robert Janker","E von Redwitz"
"1951","Medicine","James Collip","Alan Skinner"
"1951","Medicine","Alfred Blalock","Mario Dogliotti"
"1951","Medicine","Bernard Halpern","Jean Pieri"
"1951","Medicine","Ugo Cerletti","Francesco Rezzesi"
"1951","Medicine","Gaston Ramon","René Jacquemain"
"1951","Medicine","Maurice Sourdille
 Julius Lempert
 George Shambaugh, Jr","Gunnar Holmgren"
"1951","Medicine","Selman Waksman","Juan Urra"
"1951","Medicine","Gösta Häggkvist","B Romeis"
"1951","Medicine","Manoel de Abreu","Antonio C.de Abreu Freire Egas Moniz"
"1951","Medicine","Oswald Theodore Avery","Barry Wood"
"1951","Medicine","Torbjörn Caspersson","Mario Raso"
"1951","Medicine","Hans Selye","C-E Räihä"
"1951","Medicine","James Collip","G Stevenson"
"1951","Medicine","William Feldman","Gerhard Domagk"
"1951","Medicine","Karl von Frisch
 Gerhard Domagk
 Robert Janker","H Eyer"
"1951","Medicine","Gaston Ramon","H Gisselbrecht"
"1951","Medicine","Richard Otto","G Blumenthal"
"1951","Medicine","Helen Taussig
 Jacob Jongbloed","G Morin"
"1951","Medicine","Stanford Moore
 William Howard Stein","R Ruyssen"
"1951","Medicine","Helen Taussig
 Jacob Jongbloed","G Jayle"
"1951","Medicine","Ragnar Granit","Rudolf Mond"
"1951","Medicine","Daniel Bovet
 Bernard Halpern
 Frédéric Bremer","Corneille Heymans"
"1951","Medicine","Cecil Burch","H Berkelbach v.d.Sprenkel"
"1951","Medicine","Helen Taussig
 Alfred Blalock","H Elbel"
"1951","Medicine","René Leriche
 Gaston Ramon","J Henriet"
"1951","Medicine","Ragnar Granit","Karl Zeiger"
"1951","Medicine","P Boysen-Jensen","Carl Krebs"
"1951","Medicine","Robert Rössle
 Karl von Frisch","Erich Hoffmann"
"1951","Medicine","Robert Feulgen","W Dirscherl"
"1951","Medicine","Karl von Frisch
 Robert Janker","U Ebbecke"
"1951","Medicine","Robert Gross
 Clarence Crafoord
 Alfred Blalock","Helge Wulff"
"1951","Medicine","Melvin Knisely","Larus Einarson"
"1951","Medicine","Melvin Knisely","C Holten"
"1951","Medicine","Henry Shortt","A Kennedy"
"1951","Medicine","Nicola Pende","Domenico Campanacci"
"1951","Medicine","Lester Smith
 Karl Folkers","Tadeus Reichstein"
"1951","Medicine","Nicola Pende","Michele Bufano"
"1951","Medicine","Ernest Goodpasture","Edward Doisy"
"1951","Medicine","Helen Taussig
 Jacob Jongbloed"," Heckenroth"
"1951","Medicine","Gaston Ramon","Marcel Jacob"
"1951","Medicine","Robert Janker","W Ceelen"
"1951","Medicine","Haldan Hartline","Göran Liljestrand"
"1951","Medicine","Max Theiler","Hilding Bergstrand"
"1952","Medicine","Ragnar Granit","H Bürger-Prinz"
"1952","Medicine","Rafael Lorente de Nó","J Szentágothai"
"1952","Medicine","Rafael Lorente de Nó","S Környey"
"1952","Medicine","René Leriche","Paul Hermann Müller"
"1952","Medicine","James Lawder Gamble","E Kerpel-Fronius"
"1952","Medicine","Gaston Ramon"," Marquis"
"1952","Medicine","Robert Gross","George Whipple"
"1952","Medicine","Claude Beck
 Alfred Blalock
 Helen Taussig","George Whipple"
"1952","Medicine","Alfred Blalock","Henry Harkins"
"1952","Medicine","Melvin Calvin
 Andrew Benson","James Small"
"1952","Medicine","Ragnar Granit","Giuseppe Moruzzi"
"1952","Medicine","Robert Brinkman","L Eerland"
"1952","Medicine","Einar Lundsgaard","Otto Warburg"
"1952","Medicine","Alexander Fleming","A Ponsold"
"1952","Medicine","Paul Buchner
 Umberto Pierantoni
 Karl Sulc","Reiner Müller"
"1952","Medicine","Albert Hustin","M De Laet"
"1952","Medicine","Ragnar Granit","Folco Domenici"
"1952","Medicine","Gaston Ramon","Jules Bordet"
"1952","Medicine","Ludolph Brauer","C Veit"
"1952","Medicine","Robert Gross","George Whipple"
"1952","Medicine","Claude Beck
 Alfred Blalock
 Helen Taussig","George Whipple"
"1952","Medicine","George Wells Beadle","Horace Davenport"
"1952","Medicine","Philip Levine
 Alexander Wiener","Ernst Freudenberg"
"1952","Medicine","Philip Levine
 Alexander Wiener","Fritz Verzár"
"1952","Medicine","René Leriche","G Giraud"
"1952","Medicine","Charles Oberling"," Josserand"
"1952","Medicine","Viktor Weizsäcker von","Ramón Brandán"
"1952","Medicine","Ernest Goodpasture","Sam Clark"
"1952","Medicine","Rafael Lorente de Nó","Jacob Molland"
"1952","Medicine","René Leriche","A Aimes"
"1952","Medicine","René Leriche","J Vidal"
"1952","Medicine","René Leriche","E Truc"
"1952","Medicine","Alfred Blalock
 Helen Taussig","Hugo Knipping"
"1952","Medicine","Hans Adolf Krebs","Carl Cori"
"1952","Medicine","Hans Adolf Krebs","Gerty Cori"
"1952","Medicine","Hans Selye","Belzor Moyano Navarro"
"1952","Medicine","Herbert Evans
 Choh Hao Li","Oscar Luque"
"1952","Medicine","Frédéric Bremer","Gabriele Monasterio"
"1952","Medicine","René Leriche","E Mourgue-Molines"
"1952","Medicine","Ernest Verney","J Gaddum"
"1952","Medicine","Owen Wangensteen","B Visscher"
"1952","Medicine","Charles Herbert Best","Bernardo Alberto Houssay"
"1952","Medicine","Frédéric Bremer","Corneille Heymans"
"1952","Medicine","Hans Adolf Krebs","Francesco Cedrangolo"
"1952","Medicine","Ugo Cerletti","F Kehrer"
"1952","Medicine","Lucio Bini
 Ladislas Meduna von
 Manfred Sakel","F Kehrer"
"1952","Medicine","René Leriche","G Giraud"
"1952","Medicine","James Reilly","Paul Sedallian"
"1952","Medicine","Frank Wilson","Guillermo Allende"
"1952","Medicine","René Leriche","R Froment"
"1952","Medicine","Carl Neuberg","Bruno Kisch"
"1952","Medicine","René Leriche","M Levrat"
"1952","Medicine","Werner Forssmann","N Guleke"
"1952","Medicine","John Enders","Louis Gebhart"
"1952","Medicine","Ugo Cerletti","Attilio Zorini"
"1952","Medicine","Oswald Theodore Avery
 Michael Heidelberger","Otto Loewi"
"1952","Medicine","Richard Wagner","F Lang"
"1952","Medicine","Erich Frank","E Melchior"
"1952","Medicine","Arturo Rosenblueth","G Guzman"
"1952","Medicine","Oswald Theodore Avery","Herbert Gasser"
"1952","Medicine","Arthur Stoll","Paul Hermann Müller"
"1952","Medicine","René Leriche","J Caderas de Kerleau"
"1952","Medicine","Paul Hoffmann","Walter Hess"
"1952","Medicine","Gerhard Domagk","H Loebell"
"1952","Medicine","René Leriche","P Croizat"
"1952","Medicine","Thomas Dougherty","Edwin Lawrence"
"1952","Medicine","Karl Lohmann","E Schütz"
"1952","Medicine","René Leriche","Georges Mouriquand"
"1952","Medicine","Friedrich Rein","Hans Schulten"
"1952","Medicine","Ernest Goodpasture","Frank Luton"
"1952","Medicine","Ernest Goodpasture","John Burch"
"1952","Medicine","Ernest Goodpasture","Robert Sullivan"
"1952","Medicine","Alexander Muralt von","E Skramlik von"
"1952","Medicine","Gaston Ramon","Miloutine Djourichitch"
"1952","Medicine","Gaston Ramon","Kosta Todorovitch"
"1952","Medicine","Gaston Ramon","Milan Prica"
"1952","Medicine","Jacques Charpy"," Jeannin"
"1952","Medicine","Erik Jorpes
 Karl Paul Link","D Moore"
"1952","Medicine","Erik Jorpes
 Karl Paul Link","L Jaques"
"1952","Medicine","René Leriche","P Wertheimer"
"1952","Medicine","Karl Lohmann","E Lehnartz"
"1952","Medicine","Ernest Goodpasture","Chris McClure"
"1952","Medicine","Hugo Knipping","F Külbs"
"1952","Medicine","Archer John Porter Martin","Erik Jorpes"
"1952","Medicine","Ernest Goodpasture","Herbert Francis"
"1952","Medicine","René Leriche","M Carrieu"
"1952","Medicine","René Leriche","A Harant"
"1952","Medicine","René Leriche","P Lamarque"
"1952","Medicine","René Leriche","P Pagès"
"1952","Medicine","René Leriche","Jean Turchini"
"1952","Medicine","Oskar Vogt
 Karl Kleist","Antonio C.de Abreu Freire Egas Moniz"
"1952","Medicine","Jörgen Lehmann","Jevrem Nedelkovitch"
"1952","Medicine","Elisabeth Bugie
 Albert Schatz
 Selman Waksman","Jevrem Nedelkovitch"
"1952","Medicine","Fritz Mietzsch
 H Mauss
 Walter Kikuth","Gerhard Domagk"
"1952","Medicine","René Leriche","E Etienne"
"1952","Medicine","René Leriche"," Mallet-Guy"
"1952","Medicine","Paul Uhlenhuth","A Ponsold"
"1952","Medicine","Paul Uhlenhuth","P Pitzen"
"1952","Medicine","Paul Uhlenhuth","P Sunder-Plassmann"
"1952","Medicine","Paul Uhlenhuth","R Müller"
"1952","Medicine","Paul Uhlenhuth","H Goecke"
"1952","Medicine","Paul Uhlenhuth","H Siegmund"
"1952","Medicine","Paul Uhlenhuth","A Loeser"
"1952","Medicine","Paul Uhlenhuth","H Becher"
"1952","Medicine","Paul Uhlenhuth","W Rohrschneider"
"1952","Medicine","Paul Uhlenhuth","K Jötten"
"1952","Medicine","René Leriche","C Dejean"
"1952","Medicine","Selman Waksman","Miguel Moraza"
"1952","Medicine","René Leriche","J Euzière"
"1952","Medicine","Friedrich Rein
 Ernest Verney","M Schneider"
"1952","Medicine","Lester Smith
 Karl Folkers","Hugo Theorell"
"1952","Medicine","Selman Waksman","G Bossa"
"1952","Medicine","Max Hartmann","C Bennholdt-Thomsen"
"1952","Medicine","Robert Feulgen","E Klenk"
"1952","Medicine","David Nachmansohn
 Ulf von Euler","J Gaarenstroom"
"1952","Medicine","Karl Lohmann","Fritz Schellong"
"1952","Medicine","René Leriche","J Terracol"
"1952","Medicine","René Leriche","L Carrère"
"1952","Medicine","Toshiyuki Kurotsu","Naosaburo Yoshii"
"1952","Medicine","Selman Waksman
 Oskar Wintersteiner
 Karl Folkers","Sune Bergström"
"1952","Medicine","Hans Selye","H Rodgers"
"1952","Medicine","Selmar Aschheim
 Bernhard Zondek","G Döderlein"
"1953","Medicine","René Leriche","G Roux"
"1953","Medicine","René Leriche","P Santy"
"1953","Medicine","Hans Selye","T Castellano"
"1953","Medicine","Gaston Ramon","Paul Bordet"
"1953","Medicine","Gaston Ramon","E Bigwood"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","J Zange"
"1953","Medicine","Paul Owren","Carl Semb"
"1953","Medicine","Alfred Blalock
 Clarence Crafoord","W v. Brunn"
"1953","Medicine","René Leriche","A Guillemin"
"1953","Medicine","Manfred Sakel
 Ugo Cerletti","Hans Hoff"
"1953","Medicine","Leopold Schönbauer","Fritz Driak"
"1953","Medicine","Emil von Dungern
 Ronald Fisher","Ludwik Hirszfeld"
"1953","Medicine","Ernest Goodpasture","Edward Doisy"
"1953","Medicine","Sir Norman McAlister Gregg","PH van Gilse"
"1953","Medicine","Rafael Lorente de Nó","Jacob Molland"
"1953","Medicine","Herbert Evans","Ralph Major"
"1953","Medicine","Etienne Wolff","E Legait"
"1953","Medicine","Manfred Sakel
 Ugo Cerletti","A Wiedmann"
"1953","Medicine","John Enders","James Means"
"1953","Medicine","Fritz Albert Lipmann
 Hans Selye","S de Jongh"
"1953","Medicine","Harland Wood","L Krampitz"
"1953","Medicine","Antoine Lacassagne","P Desaive"
"1953","Medicine","Adolf Jarisch","F v. Brücke"
"1953","Medicine","Anton Carlson","Carl Wiggers"
"1953","Medicine","Oswald Theodore Avery
 Michael Heidelberger
 Walther Goebel","A Olitzki"
"1953","Medicine","Richard Behan","J Losas"
"1953","Medicine","Hans Adolf Krebs","Bernardo Alberto Houssay"
"1953","Medicine","Oswald Theodore Avery","Herbert Gasser"
"1953","Medicine","Sir Norman McAlister Gregg","Lambert Rogers"
"1953","Medicine","Helen Taussig
 Alfred Blalock","Donald Proctor"
"1953","Medicine","Joseph Gillman
 Theodore Gillman","Raymond Dart"
"1953","Medicine","Joseph Gillman
 Theodore Gillman","O Heyns"
"1953","Medicine","Joseph Gillman
 Theodore Gillman","E Cluver"
"1953","Medicine","Gerhard Domagk
 Konrad Lorenz","A Peiper"
"1953","Medicine","Henry Sigerist","Carlos Paz Soldan"
"1953","Medicine","Hans Adolf Krebs
 Fritz Albert Lipmann","Carl Cori"
"1953","Medicine","Hans Adolf Krebs
 Fritz Albert Lipmann","Gerty Cori"
"1953","Medicine","Julius Lempert
 Maurice Sourdille
 George Shambaugh, Jr","Gunnar Holmgren"
"1953","Medicine","Torbjörn Caspersson
 Edward Rickes
 Lester Smith","W Wegner"
"1953","Medicine","Ladislas von Meduna
 Manfred Sakel","W Dawson"
"1953","Medicine","Alfred Blalock","W Scott"
"1953","Medicine","Jaroslav Heyrovský
 Frantisek Studnicka","J Kabelik"
"1953","Medicine","Ernest Goodpasture","Alfred Blalock"
"1953","Medicine","Charles Herbert Best","J Roskam"
"1953","Medicine","George Papanicolaou","Spyr. Dontas"
"1953","Medicine","Frédéric Bremer
 Carl Wiggers","Corneille Heymans"
"1953","Medicine","Sir Norman McAlister Gregg","Lorimer Dodds"
"1953","Medicine","Alfred Blalock","Samuel Crowe"
"1953","Medicine","Edward Rickes
 Lester Smith","H Sarre"
"1953","Medicine","Gerhard Domagk","Max Bürger"
"1953","Medicine","George Papanicolaou","Them. Sklawunos"
"1953","Medicine","Bernhard Zondek
 Philip Smith
 Selmar Aschheim","Aryeh Feigenbaum"
"1953","Medicine","Zénon-Marcel Bacq","Henri Fredericq"
"1953","Medicine","John Enders","John Dingle"
"1953","Medicine","George Papanicolaou","Greg. Katsas"
"1953","Medicine","Clarence Crafoord","L Cristophe"
"1953","Medicine","Fridrich Feyrter
 Alfred Pischinger
 Torbjörn Caspersson","Viktor Patzelt"
"1953","Medicine","Gaston Ramon","Guiseppe Caronia"
"1953","Medicine","Torbjörn Caspersson","F Büchner"
"1953","Medicine","David Rittenberg","E Wertheimer"
"1953","Medicine","Frank Burnet","A Burkitt"
"1953","Medicine","Frank Burnet","Claude Witherington Stump"
"1953","Medicine","William Astbury","Albert Imre Szent-Györgyi"
"1953","Medicine","Hans Adolf Krebs","Arnold Welch"
"1953","Medicine","Manoel de Abreu","Francisco d´Ovidio"
"1953","Medicine","Fritz Albert Lipmann","George Berry"
"1953","Medicine","Leon Binet","S Livieratos"
"1953","Medicine","George Papanicolaou","Jean Koumaris"
"1953","Medicine","Alessandro Vallebona","M Mitolo"
"1953","Medicine","Sir Norman McAlister Gregg","Keith Inglis"
"1953","Medicine","Ernest Goodpasture","Shields Warren"
"1953","Medicine","Feodor Lynen","Fritz Albert Lipmann"
"1953","Medicine","Alfred Blalock
 Helen Taussig","Francis Schwentker"
"1953","Medicine","Alexander Haddow","Lucio Severi"
"1953","Medicine","Ludwig Heilmeyer","Vlassios Vlassopoulos"
"1953","Medicine","George Papanicolaou","Th. Demetriades"
"1953","Medicine","Hans Selye","Paulo Tibiriçá"
"1953","Medicine","Ragnar Granit","W Sulze"
"1953","Medicine","Yas Kuno","K Hotta"
"1953","Medicine","Yas Kuno","B Koinuma"
"1953","Medicine","Robert Debré","Hanna Hirszfeld"
"1953","Medicine","Donald van Slyke","Daniel Nicholson"
"1953","Medicine","George Papanicolaou","N Michaelides"
"1953","Medicine","Daniel Bovet","Domenico Marotta"
"1953","Medicine","Hans Selye","Carlos Martínez Durán"
"1953","Medicine","Ugo Cerletti","Ugo Ponzo"
"1953","Medicine","Yas Kuno","K Ogasawara"
"1953","Medicine","Yas Kuno","K Kano"
"1953","Medicine","René Leriche","H Vincent"
"1953","Medicine","George Shambaugh, Jr","F Zöllner"
"1953","Medicine","Gunnar Holmgren
 Maurice Sourdille
 Julius Lempert","F Zöllner"
"1953","Medicine","René Leriche","P Fumeau"
"1953","Medicine","George Papanicolaou","J Charamis"
"1953","Medicine","Rudolph Peters","H Gilding"
"1953","Medicine","Charles Herbert Best","R Weekers"
"1953","Medicine","Alan Hodgkin","Lord Edgar Adrian"
"1953","Medicine","Frederick Sanger
 Linus Carl Pauling
 Robert Corey","John Tileston Edsall"
"1953","Medicine","George Wells Beadle
 Edward Lawrie Tatum","Mansfield Clark"
"1953","Medicine","Ugo Cerletti","Giuseppe Amantea"
"1953","Medicine","René Leriche","F Drouet de la Thibauderie"
"1953","Medicine","René Leriche","D Bodroux"
"1953","Medicine","René Leriche","R Rolland"
"1953","Medicine","René Leriche","R Mallet"
"1953","Medicine","Hugo Theorell","A Rossi-Fanelli"
"1953","Medicine","Aldo Castellani","Vittorio Puntoni"
"1953","Medicine","Jaroslav Heyrovský","Václav Vejdovský"
"1953","Medicine","René Leriche","P Foucault"
"1953","Medicine","Theodosius Dobzhansky
 Alfred Kühn","Felix Mainx"
"1953","Medicine","John Eccles","Paul Hoffmann"
"1953","Medicine","James Reilly","Pierre Kissel"
"1953","Medicine","Hans Adolf Krebs","Elísio Milheiro"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","H Weber"
"1953","Medicine","Cécile Vogt
 Oskar Vogt
 Max Hartmann","H Weber"
"1953","Medicine","Seizo Katsunuma","Naka Kikkawa"
"1953","Medicine","Helen Taussig
 Alfred Blalock","A Walker"
"1953","Medicine","Gregory Shwartzman","E Ecker"
"1953","Medicine","Hans Selye
 J Green
 G Harris","C-E Räihä"
"1953","Medicine","Sir Ernest Lawrence Kennaway","J Orr"
"1953","Medicine","Charles Harington","John Squire"
"1953","Medicine","Torbjörn Caspersson","Hermann Dold"
"1953","Medicine","Ugo Cerletti","E Milani"
"1953","Medicine","Edouard Grasset","J Watt"
"1953","Medicine","Cécile Vogt
 Oskar Vogt","Th. Naegeli"
"1953","Medicine","Hans Selye","Paulo Moreira"
"1953","Medicine","Philip Levine
 Alexander Wiener","Nicholson Eastman"
"1953","Medicine","Werner Forssmann
 André Frédéric Cournand","William Murphy"
"1953","Medicine","Wilder Penfield
 Herbert Jasper","Jorge Bernales"
"1953","Medicine","Hans Adolf Krebs","Melville Arnott"
"1953","Medicine","Antonio de Sousa Pereira","Antonio de Almeida Garrett"
"1953","Medicine","Paul Hoffmann","Walter Hess"
"1953","Medicine","Arthur Stoll","Paul Hermann Müller"
"1953","Medicine","Edward Rickes
 Lester Smith","W Wolf"
"1953","Medicine","Aldo Castellani","Cesare Gerin"
"1953","Medicine","Sir Ernest Lawrence Kennaway","FA Stammers"
"1953","Medicine","Rudolph Peters
 Hans Adolf Krebs","Baird Hastings"
"1953","Medicine","Gilbert Dalldorf
 Torbjörn Caspersson","W Keller"
"1953","Medicine","Gaston Ramon","G Louyot"
"1953","Medicine","George Papanicolaou","H de Watteville"
"1953","Medicine","Charles Herbert Best","Sir Henry Hallett Dale"
"1953","Medicine","Cécile Vogt
 Oskar Vogt","Antonio C.de Abreu Freire Egas Moniz"
"1953","Medicine","Torbjörn Caspersson","H Langendorff"
"1953","Medicine","Alexander Haddow","Giorgio Todesco"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","Adolf Butenandt"
"1953","Medicine","James Reilly","R le Blaye"
"1953","Medicine","Ugo Cerletti","Lodovico Tommasi"
"1953","Medicine","Robert Bensley","Normand Hoerr"
"1953","Medicine","Aldo Castellani","M Girolami"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","E Letterer"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","W Bickenbach"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","H Gottron"
"1953","Medicine","Charles Herbert Best","Otto Loewi"
"1953","Medicine","Werner Forssmann","Ludwig Heilmeyer"
"1953","Medicine","Edward Rickes
 Lester Smith
 Torbjörn Caspersson","Ludwig Heilmeyer"
"1953","Medicine","David Keilin","S Zuckerman"
"1953","Medicine","Rudolph Peters","A Thomson"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","Hans-Hermann Rebel"
"1953","Medicine","Hans Selye","L Guerra Blessmann"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","H Bennhold"
"1953","Medicine","Paul Delmat-Marsalet","Jean Michon"
"1953","Medicine","Wilder Penfield","R Vara Lopez"
"1953","Medicine","David Keilin","CF Smout"
"1953","Medicine","René Leriche","Antonio de Sousa Pereira"
"1953","Medicine","Paul Hoffmann","P Riechert"
"1953","Medicine","Aldo Castellani","Mariano Messini"
"1953","Medicine","Gerhard Domagk
 Alfred Blalock
 Helen Taussig","Heinrich Bredt"
"1953","Medicine","Walter Kikuth
 Fritz Mietzsch","Walther Jacobj"
"1901","Literature","Émile Zola","Marcellin Berthelot"
"1901","Literature","René Vallery-Radot","Eugène Melchoir de Vogüé
 E Legouvé
 Albert Vandal
 Gabriel Hanotaux
 Albert Sorel
 Sully (René) Prudhomme
 Henri Lavedan"
"1901","Literature","Edmond Rostand","Gabriel Hanotaux"
"1901","Literature","Edmond Rostand","Paul Hervieu"
"1901","Literature","Julius Gersdorff","Carl Heinrich Döring"
"1901","Literature","Alexander Baumgartner, S.J.","Knud Krogh-Tonning"
"1901","Literature","Alexandru Dimitrie Xenopol","J Gavanescu"
"1901","Literature","Oscar le Pin","P Bonnaviat"
"1901","Literature","Paul Sabatier","Carl Bildt"
"1901","Literature","Louis Ducros","Michel Clerc"
"1901","Literature","Sully (René) Prudhomme","Per Geijer"
"1901","Literature","Sully (René) Prudhomme","Michel Bréal"
"1901","Literature","Sully (René) Prudhomme","Gustave Lanson"
